url_length,hostname_length,path_length,count_hyphens,count_dots,count_at,count_questionmark,count_equals,count_slashes,count_digits,has_ip,has_https,is_shortened
87,14,66,1,1,0,0,0,7,19,0,0,0
53,15,31,2,3,0,0,0,4,0,0,0,0
104,16,80,2,2,0,0,0,10,5,0,1,0
58,19,32,4,2,0,0,0,4,0,0,0,0
66,18,41,3,2,0,0,0,4,0,0,0,0
26,18,1,1,2,0,0,0,3,0,0,0,0
38,30,1,3,3,0,0,0,3,1,0,0,0
54,26,20,0,3,0,0,0,5,6,0,1,1
78,21,49,4,2,0,0,0,4,0,0,1,0
72,23,42,4,3,0,0,0,3,5,0,0,1
39,17,15,0,2,0,0,0,4,0,0,0,0
68,42,19,0,4,0,0,0,4,11,0,0,0
43,15,21,1,2,0,0,0,5,0,0,0,1
18,9,1,0,1,0,0,0,3,0,0,1,0
153,15,131,14,2,0,0,0,9,24,0,0,0
57,48,1,0,4,0,0,0,3,3,0,1,0
99,15,76,0,2,0,0,0,7,5,0,1,0
213,18,22,1,3,0,1,3,5,92,0,0,0
42,9,26,0,2,0,0,0,4,2,0,0,0
22,13,1,0,2,0,0,0,3,0,0,1,0
40,20,13,0,2,0,0,0,4,4,0,0,0
27,19,1,0,2,0,0,0,3,0,0,0,0
57,23,26,1,2,0,0,0,4,2,0,1,0
132,16,24,0,3,0,1,1,4,8,0,1,0
86,13,66,10,1,0,0,0,6,7,0,0,0
84,13,64,0,3,0,0,0,5,4,0,0,0
100,25,67,5,2,0,0,0,6,10,0,1,0
127,50,19,1,4,0,1,3,4,17,0,1,0
42,14,20,1,2,0,0,0,5,0,0,1,0
44,13,24,1,2,0,0,0,4,1,0,0,0
58,25,26,3,3,0,0,0,3,0,0,0,0
93,21,64,5,2,0,0,0,5,0,0,1,0
46,18,20,1,1,0,0,0,7,0,0,1,0
25,17,1,0,2,0,0,0,3,0,0,0,0
30,22,0,0,2,0,0,0,2,0,0,1,0
51,22,22,2,2,0,0,0,4,10,0,0,0
55,23,25,2,2,0,0,0,4,0,0,0,0
22,12,1,0,2,0,1,0,3,0,0,1,0
113,15,76,0,2,0,1,1,7,9,0,1,0
88,14,67,2,5,0,0,1,7,15,0,0,0
103,15,81,1,1,0,0,0,10,16,0,0,0
52,18,27,0,2,0,0,0,7,2,0,0,0
35,19,9,0,2,0,0,0,4,0,0,0,0
29,20,1,0,2,0,0,0,3,0,0,1,0
29,16,6,0,2,0,0,0,4,0,0,0,0
57,18,32,1,3,0,0,0,5,6,0,0,0
54,11,35,0,2,0,0,0,4,8,0,1,1
55,47,1,2,3,0,0,0,3,0,0,0,1
33,8,18,0,1,0,0,0,5,0,0,0,0
95,26,62,1,2,0,0,0,12,0,0,0,0
74,17,20,0,2,0,1,1,5,0,0,0,0
82,17,58,9,2,0,0,0,5,1,0,0,0
77,20,49,5,3,0,0,0,4,2,0,1,0
136,13,91,2,1,0,1,2,12,5,0,1,0
59,15,37,0,1,0,0,0,5,17,0,0,0
42,25,9,0,2,0,0,0,3,0,0,1,0
62,14,41,0,2,0,0,0,5,2,0,0,0
263,20,78,0,5,0,1,3,10,72,0,0,0
41,18,15,0,2,0,0,0,4,0,0,1,0
64,19,37,3,2,0,0,0,5,0,0,1,0
48,16,24,0,2,0,0,0,4,0,0,1,0
22,14,1,0,2,0,0,0,3,0,0,0,0
49,40,1,2,4,0,0,0,3,3,0,1,1
25,13,1,1,1,0,1,1,3,0,0,1,0
42,16,18,0,2,0,0,0,5,0,0,1,0
41,33,1,2,4,0,0,0,3,0,0,0,0
59,12,40,0,3,0,0,0,7,2,0,0,0
20,11,1,0,1,0,0,0,3,0,0,1,0
69,23,38,3,2,0,0,0,4,0,0,1,0
39,14,18,0,3,0,0,0,4,0,0,0,0
23,15,0,0,2,0,0,0,2,0,0,1,0
74,21,46,2,2,0,0,0,9,4,0,0,0
41,24,10,0,3,0,0,0,3,0,0,0,0
107,17,83,9,2,0,0,0,6,8,0,0,0
84,16,46,1,2,0,1,1,6,8,0,1,0
27,16,4,0,2,0,0,0,4,0,0,0,0
57,14,28,0,3,0,1,1,5,6,0,0,0
63,14,42,2,3,0,0,0,7,0,0,0,0
53,13,33,0,2,0,0,0,3,21,0,0,0
57,20,30,2,3,0,0,0,4,0,0,0,0
62,31,24,2,2,0,0,0,4,0,0,0,1
63,12,44,4,1,0,0,0,7,8,0,0,0
49,10,32,2,2,0,0,0,4,0,0,0,0
35,27,1,0,2,0,0,0,3,3,0,0,1
45,37,1,0,4,0,0,0,3,0,0,0,0
47,16,23,5,3,0,0,0,3,1,0,1,0
63,14,42,4,1,0,0,0,5,0,0,0,0
77,20,50,5,2,0,0,0,4,0,0,0,0
43,26,10,0,2,0,0,0,4,1,0,0,0
31,22,1,0,2,0,0,0,3,0,0,1,1
34,15,12,1,1,0,0,0,4,0,0,0,0
30,23,0,0,2,0,0,0,2,3,0,0,1
71,20,44,1,2,0,0,0,7,3,0,0,0
122,68,47,0,22,0,0,0,4,36,0,0,0
51,43,1,2,3,0,0,0,3,10,0,0,0
39,15,16,0,2,0,0,0,4,0,0,1,0
305,16,22,8,4,0,1,4,6,90,0,1,0
132,25,90,1,2,0,1,1,7,7,0,1,1
33,14,11,0,2,0,0,0,3,4,0,1,0
63,27,29,0,2,0,0,0,4,6,0,0,0
31,23,0,0,2,0,0,0,2,0,0,1,1
40,33,0,0,2,0,0,0,2,0,0,0,1
48,20,21,0,2,0,0,0,5,0,0,0,0
26,18,1,0,2,0,0,0,3,0,0,0,0
164,21,57,1,3,1,1,4,6,22,0,0,1
128,50,20,1,4,0,1,3,5,19,0,1,0
54,22,25,0,3,0,0,0,6,0,0,0,0
22,13,1,0,1,0,0,0,3,0,0,1,0
56,15,34,0,2,0,0,0,8,0,0,0,0
24,16,1,0,2,0,0,0,3,0,0,0,0
63,10,46,0,2,0,0,0,7,0,0,0,0
183,37,138,17,2,0,0,0,8,41,0,1,0
20,11,1,0,1,0,0,0,3,0,0,1,0
80,15,29,1,2,1,1,1,6,0,0,0,0
124,46,20,0,5,0,1,3,5,24,0,1,0
26,14,5,0,2,0,0,0,4,2,0,0,0
148,16,74,1,2,0,1,3,11,33,0,1,0
49,16,25,0,2,0,0,0,4,0,0,1,0
32,15,9,0,2,0,0,0,4,1,0,1,0
32,10,15,1,2,0,0,0,5,0,0,0,0
33,25,0,1,2,0,0,0,2,0,0,1,0
238,19,13,0,14,0,1,4,11,37,0,1,1
83,16,46,0,2,0,1,1,7,2,0,1,0
49,16,25,0,6,0,0,0,3,0,0,1,0
30,22,1,0,2,0,0,0,3,0,0,0,0
97,26,64,2,2,0,0,0,8,25,0,0,0
41,34,0,4,2,0,0,0,2,0,0,0,0
37,21,8,0,2,0,0,0,3,0,0,1,0
396,14,10,0,24,1,2,9,21,19,0,0,0
56,30,12,0,4,0,1,1,4,0,0,0,0
177,11,73,1,4,0,1,5,6,33,0,0,0
34,26,1,0,2,0,0,0,3,2,0,0,1
55,19,28,3,1,0,0,0,4,0,0,1,0
38,25,6,1,2,0,0,0,3,0,0,0,1
51,25,19,0,3,0,0,0,4,6,0,0,0
128,50,20,1,4,0,1,3,5,19,0,1,0
59,21,31,0,2,0,0,0,6,4,0,0,0
88,22,59,7,2,0,0,0,5,5,0,0,0
38,18,13,0,2,0,0,0,4,0,0,0,0
51,19,25,1,2,0,0,0,6,0,0,0,0
33,24,1,0,2,0,0,0,3,0,0,1,0
163,14,32,9,4,1,0,1,3,65,0,0,0
112,12,93,1,3,0,0,0,10,1,0,0,0
125,50,19,1,4,0,1,3,4,23,0,1,0
22,13,1,0,2,0,0,0,3,0,0,1,0
28,19,1,0,1,0,0,0,3,3,0,1,0
47,12,28,0,3,0,0,0,5,1,0,0,0
46,19,20,0,3,0,0,0,3,0,0,0,0
57,11,39,0,3,0,0,0,8,0,0,0,0
73,23,43,6,2,0,0,0,3,6,0,0,0
37,28,1,0,3,0,0,0,3,0,0,1,0
77,13,57,2,2,0,0,0,7,0,0,0,0
60,14,38,4,2,0,0,0,5,0,0,1,0
26,18,0,1,2,0,0,0,2,0,0,1,0
38,30,1,0,2,0,0,0,3,0,0,0,0
59,17,35,5,2,0,0,0,4,1,0,0,0
63,21,35,0,1,0,0,0,4,0,0,0,0
552,22,9,16,3,0,1,1,4,94,0,0,0
34,15,12,2,2,0,0,0,4,0,0,0,0
49,28,0,1,2,0,1,1,2,0,0,1,0
49,14,8,1,4,1,1,1,4,0,0,0,0
43,14,22,0,3,0,0,0,5,6,0,0,0
68,42,19,0,4,0,0,0,4,7,0,0,0
23,15,1,0,2,0,0,0,3,0,0,0,0
29,21,1,0,3,0,0,0,3,0,0,0,0
58,49,1,4,2,0,0,0,3,8,0,1,1
71,35,29,1,2,0,0,0,4,10,0,0,0
24,16,1,0,2,0,0,0,3,0,0,0,0
58,25,26,2,2,0,0,0,4,0,0,0,0
45,16,21,0,2,0,0,0,4,0,0,1,0
34,25,1,2,2,0,0,0,3,0,0,1,0
34,27,0,2,2,0,0,0,2,0,0,0,0
77,14,55,8,2,0,0,0,6,2,0,1,0
42,13,21,0,1,0,0,0,6,10,0,1,0
57,28,21,3,3,0,0,0,4,0,0,1,0
35,15,13,0,2,0,0,0,5,0,0,0,0
34,17,10,0,2,3,0,0,3,7,0,0,1
25,16,1,0,2,0,0,0,3,0,0,1,0
82,31,43,3,4,0,0,0,5,6,0,1,0
152,24,69,4,4,0,1,2,12,19,0,0,0
44,21,16,0,2,0,0,0,3,2,0,0,0
34,19,8,0,3,0,0,0,3,0,0,0,0
24,17,0,0,1,0,0,0,2,0,0,0,0
18,11,0,0,2,0,0,0,2,0,0,0,0
128,50,20,1,4,0,1,3,5,16,0,1,0
47,18,21,0,3,0,0,0,4,0,0,1,0
68,37,24,0,2,0,0,0,6,0,0,0,0
30,21,1,0,2,0,0,0,3,0,0,1,0
88,22,35,1,2,0,1,1,6,4,0,0,0
21,13,1,0,1,0,0,0,3,0,0,0,0
28,16,4,0,2,0,0,0,3,1,0,1,0
35,11,17,2,1,0,0,0,4,0,0,0,0
34,15,12,1,1,0,0,0,4,4,0,0,1
109,28,68,0,7,0,1,0,7,4,0,0,0
29,17,4,0,2,0,0,0,4,0,0,1,0
35,18,9,0,2,0,0,0,5,0,0,1,0
105,28,70,2,2,0,0,0,7,0,0,0,0
47,31,9,0,5,0,0,0,3,10,0,0,1
60,29,17,0,8,0,1,0,5,0,0,0,0
46,20,18,0,2,0,0,0,4,0,0,1,0
78,26,44,0,4,0,0,0,9,8,0,1,0
39,19,13,0,3,0,0,0,3,0,0,0,0
71,19,33,1,2,0,1,1,5,0,0,0,0
57,16,33,0,2,0,0,0,4,0,0,1,0
26,18,1,1,2,0,0,0,3,0,0,0,1
25,16,1,0,2,0,0,0,3,0,0,1,1
66,41,18,0,6,0,0,0,4,17,0,0,1
52,15,30,2,3,0,0,0,3,1,0,0,0
46,19,20,1,3,0,0,0,5,0,0,0,0
46,28,11,1,4,0,0,0,3,9,0,0,1
63,25,31,0,3,0,0,0,4,8,0,0,0
97,17,73,0,4,0,0,0,7,18,0,0,0
45,17,21,1,1,0,0,0,4,0,0,0,0
143,64,1,0,3,0,1,3,3,6,0,0,0
66,41,18,0,6,0,0,0,4,17,0,0,1
52,22,22,1,3,0,0,0,5,2,0,1,1
118,42,19,0,4,0,1,3,4,26,0,0,0
128,50,20,1,4,0,1,3,5,23,0,1,0
